Wavelength,Long,Medium,Short
460,0.10774601745758394,0.19539967282103626,0.8413646170461909
461,0.11166697118336141,0.20277833038052145,0.8248589336865516
462,0.11569957234634058,0.21022820716642615,0.8068859710970894
463,0.1198438209465215,0.2177493031787504,0.7874457292778044
464,0.12409971698390417,0.22534161841749425,0.7665382082286963
465,0.12846726045848852,0.23300515288265766,0.7441634079497654
466,0.13294645137027464,0.24073990657424063,0.7203213284410117
467,0.13753728971926246,0.2485458794922432,0.6950119697024347
468,0.14223871700955926,0.25642091697713293,0.6682493915029356
469,0.14699002862876492,0.2642414495633459,0.6408399199013926
470,0.15175600227300823,0.27193577921850526,0.6132514050387128
471,0.15653663794228923,0.27950390594261104,0.585483846914896
472,0.16133193563660786,0.2869458297356632,0.557537245529942
473,0.1661418953559642,0.29426155059766174,0.5294116008838512
474,0.17104030276605442,0.3015828286068545,0.5013786834406766
475,0.1763191285720213,0.3094310398678361,0.47451389196896815
476,0.1820083705191497,0.31785975176701825,0.4489277154245373
477,0.1881080286074396,0.3268689643044009,0.4246201538073838
478,0.19461810283689088,0.33645867747998404,0.40159120711750795
479,0.20153859320750372,0.34662889129376767,0.3798408753549095
480,0.20863460683565763,0.35697621132656987,0.3590896484533003
481,0.2156113146382204,0.36699431143979133,0.33898669544964877
482,0.2224677900913214,0.37668160046322324,0.3195309138297168
483,0.22920403319496072,0.3860380783968656,0.30072230359350477
484,0.23582004394913825,0.3950637452407186,0.28256086474101255
485,0.2423224325150105,0.40376867685737605,0.26504969567009135
486,0.2491666091902636,0.41284705474632416,0.24840226202165414
487,0.25663006197877536,0.4227218536176209,0.2327486314619225
488,0.2647127908805457,0.4333930734712664,0.21808880399089653
489,0.2734147958955747,0.44486071430726043,0.20442277960857616
490,0.2827360770238625,0.4571247761256033,0.19175055831496154
491,0.29266838622596186,0.4701712079419382,0.18006295972075642
492,0.30289488534483555,0.483460258701875,0.16900733061131984
493,0.31325331609203344,0.4967155125750315,0.15840307118907998
494,0.3237436784675558,0.5099369695614078,0.14825018145403687
495,0.33436597247140243,0.5231246296610037,0.13854866140619052
496,0.34512019810357353,0.5362784928738193,0.12929851104554085
497,0.3560072926311453,0.5494003227593138,0.12049991356225659
498,0.36717257070674136,0.562763543015702,0.11218127090962803
499,0.378720776708112,0.5765652404103153,0.10436305552364543
500,0.39065191063525717,0.5908054149431539,0.09704526740430877
501,0.4029659724881766,0.6054840666142176,0.09022790655161804
502,0.4156629622668708,0.620601195423507,0.08391097296557327
503,0.4287428799713395,0.6361568013710216,0.07809446664617443
504,0.4421220594070165,0.6519359833092023,0.07269837868043427
505,0.4556476695568766,0.6675461865017945,0.06757655871926198
506,0.46931646441842156,0.6829790734157547,0.06272590265193785
507,0.48312844399165167,0.6982346440510825,0.058146410478461925
508,0.49708360827656667,0.7133128984077781,0.0538380821988342
509,0.5111819572731666,0.7282138364858416,0.049800917813054645
510,0.5254299002670775,0.7429674772099171,0.046029380504643086
511,0.5398802195834906,0.757821035126979,0.04247787298475347
512,0.5545446291937465,0.7728293745141849,0.03913627585578783
513,0.5694231290978451,0.787992495371534,0.036004589117746094
514,0.584515719295787,0.8033103976990276,0.03308281277062831
515,0.5998223997875716,0.8187830814966645,0.030370946814434446
516,0.6153431705731991,0.8344105467644451,0.02786899124916452
517,0.6307855678711949,0.8497159177391932,0.025552538457671553
518,0.6456406648266666,0.8638693655747377,0.023379115858333962
519,0.6598992796350739,0.8768559189128283,0.021347957182013003
520,0.6735614122964165,0.8886755777534654,0.019459062428708682
521,0.6866270628106946,0.8993283420966482,0.017712431598420987
522,0.699096231177908,0.9088142119423777,0.01610806469114993
523,0.7109704958014931,0.9171367795390731,0.014645761100945223
524,0.7224298676888348,0.9247057273810535,0.0133026424696086
525,0.733597100997832,0.9318004285484823,0.01206310745344694
526,0.7444721957284853,0.9384208830413591,0.010927156052460248
527,0.7550551518807945,0.9445670908596843,0.009894788266648523
528,0.7653459694547593,0.9502390520034575,0.008966004096011764
529,0.7753446484503801,0.9554367664726789,0.008140803540549971
530,0.785060308266301,0.9601676312942155,0.007418350180398836
531,0.7948749605117208,0.9647415079235268,0.006763606387442469
532,0.8049900527026858,0.9693217966841043,0.006158095646878284
533,0.815405584839197,0.9739084975759493,0.005601817958706285
534,0.8261215569212538,0.9785016105990607,0.00509477332292647
535,0.8371379689488564,0.9831011357534392,0.0046369617395388375
536,0.8484548209220045,0.9877070730390843,0.0042283832085433905
537,0.8600693683471603,0.9923167965716431,0.0038689684122219683
538,0.8712099604595136,0.9961920041320722,0.003539227754593584
539,0.8812707923180623,0.9987530719415246,0.0032238604103602495
540,0.8902518639228062,1.0,0.0029228663795219634
541,0.8981531752737455,0.9999327883074984,0.0026362456620787284
542,0.9049747263708803,0.9985514368640203,0.002363998258030542
543,0.9107165172142103,0.9958559456695653,0.0021061241673774054
544,0.9153785478037356,0.991846314724133,0.0018626233901193176
545,0.9193518840058768,0.986919044710026,0.0016359941822415177
546,0.9235696210735762,0.9820201985189779,0.0014321974597958195
547,0.9280720002107226,0.9771905766047453,0.0012514902966848567
548,0.9328590214173161,0.9724301789673278,0.0010938726929086299
549,0.9379306846933565,0.9677390056067254,0.0009593446484671387
550,0.9432869900388439,0.9631170565229388,0.0008479061633603835
551,0.9489279374537783,0.9585643317159669,0.0007595572375883639
552,0.9548291946678901,0.9540570330089623,0.0006936679918616631
553,0.9604539671555523,0.9490701485181011,0.0006363426511202907
554,0.9655823733746491,0.9433886231019217,0.0005818892339761772
555,0.970214413325181,0.9370124567604249,0.0005303077404293222
556,0.9743500870071472,0.9299416494936101,0.00048159817047972584
557,0.9779893944205481,0.9221762013014773,0.0004357605241273881
558,0.9811323355653837,0.9137161121840268,0.0003927948013723091
559,0.9837789104416539,0.9045613821412581,0.0003527010022144887
560,0.9859854749757252,0.8947634321626056,0.0003154472326059482
561,0.988050209056513,0.8845943313259077,0.00028086474075257123
562,0.9900166963879369,0.8740938468273267,0.0002489288609122873
563,0.9918849369699968,0.8632619786668632,0.0002196395930850965
564,0.9936549308026924,0.8520987268445162,0.00019299693727099874
565,0.9953266778860244,0.8406040913602867,0.00016900089346999408
566,0.9969001782199923,0.8287780722141741,0.00014765146168208248
567,0.9983754318045962,0.8166206694061788,0.00012894864190726398
568,0.9996087642322246,0.8040729198783546,0.00011260554079917792
569,1.0,0.7908885154430286,9.742370999609473e-05
570,0.9994828887684647,0.7770402673846225,8.327085884235434e-05
